2021-08-06 08:39:51,021-INFO:start training on dataset user:4442, item:5351, project:200
2021-08-06 08:55:26,682-WARNING:project level => top 7 : best suc 0.415606, best pre 0.076445,  best recall 0.074304
2021-08-06 08:55:26,685-WARNING:method level => top 8 : best suc 0.457143, best pre 0.080714,  best recall 0.091617
2021-08-06 08:55:26,685-WARNING:project level => top 8 : best suc 0.425154, best pre 0.073317,  best recall 0.081783
2021-08-06 08:55:26,688-WARNING:method level => top 9 : best suc 0.480000, best pre 0.073651,  best recall 0.095617
2021-08-06 08:55:26,688-WARNING:project level => top 9 : best suc 0.445141, best pre 0.067375,  best recall 0.086555
2021-08-06 08:55:26,691-WARNING:method level => top 10 : best suc 0.491429, best pre 0.072000,  best recall 0.101857
2021-08-06 08:55:26,691-WARNING:project level => top 10 : best suc 0.456106, best pre 0.067156,  best recall 0.094556
2021-08-06 08:55:26,694-WARNING:method level => top 11 : best suc 0.502857, best pre 0.068571,  best recall 0.106144
2021-08-06 08:55:26,694-WARNING:project level => top 11 : best suc 0.473650, best pre 0.064995,  best recall 0.100514
2021-08-06 08:55:26,697-WARNING:method level => top 12 : best suc 0.502857, best pre 0.066667,  best recall 0.112675
2021-08-06 08:55:26,697-WARNING:project level => top 12 : best suc 0.473650, best pre 0.061915,  best recall 0.104006
2021-08-06 08:55:26,700-WARNING:method level => top 13 : best suc 0.531429, best pre 0.064176,  best recall 0.119103
2021-08-06 08:55:26,700-WARNING:project level => top 13 : best suc 0.499966, best pre 0.060028,  best recall 0.110470
2021-08-06 08:55:26,703-WARNING:method level => top 14 : best suc 0.548571, best pre 0.062041,  best recall 0.123200
2021-08-06 08:55:26,703-WARNING:project level => top 14 : best suc 0.534469, best pre 0.058787,  best recall 0.114364
2021-08-06 08:55:26,706-WARNING:method level => top 15 : best suc 0.565714, best pre 0.062095,  best recall 0.130832
2021-08-06 08:55:26,706-WARNING:project level => top 15 : best suc 0.544337, best pre 0.057905,  best recall 0.121667
2021-08-06 08:55:26,709-WARNING:method level => top 16 : best suc 0.582857, best pre 0.059286,  best recall 0.132413
2021-08-06 08:55:26,709-WARNING:project level => top 16 : best suc 0.570653, best pre 0.055038,  best recall 0.122819
2021-08-06 08:55:26,712-WARNING:method level => top 17 : best suc 0.582857, best pre 0.057143,  best recall 0.137366
2021-08-06 08:55:26,712-WARNING:project level => top 17 : best suc 0.570653, best pre 0.054811,  best recall 0.133272
2021-08-06 08:55:26,714-WARNING:method level => top 18 : best suc 0.588571, best pre 0.055873,  best recall 0.142007
2021-08-06 08:55:26,715-WARNING:project level => top 18 : best suc 0.572846, best pre 0.054384,  best recall 0.139049
2021-08-06 08:55:26,717-WARNING:method level => top 19 : best suc 0.588571, best pre 0.053534,  best recall 0.142855
2021-08-06 08:55:26,717-WARNING:project level => top 19 : best suc 0.572846, best pre 0.052445,  best recall 0.140350
